10624,ACC402,UBa/HIMS01/13/0003,ACCOUNTANCY,400,2,2013/2014,18,42,0,0,0,0
10625,ACC402,Uba/HIMS01/13/0005,ACCOUNTANCY,400,2,2013/2014,20,47,0,0,0,0
10626,ACC402,Uba/HIMS01/13/0017,ACCOUNTANCY,400,2,2013/2014,18,42,0,0,0,0
10627,ACC402,UB/HIMS01/13/0020,ACCOUNTANCY,400,2,2013/2014,21,49,0,0,0,0
10628,ACC402,UBa/HIMS01/13/0024,ACCOUNTANCY,400,2,2013/2014,20,47,0,0,0,0
10629,ACC402,UBa/HIMS01/13/0028,ACCOUNTANCY,400,2,2013/2014,16,37,0,0,0,0
10630,ACC402,UBa/HIMS01/13/0034,ACCOUNTANCY,400,2,2013/2014,18,42,0,0,0,0
10631,ACC402,UBa/HIMS01/13/0035,ACCOUNTANCY,400,2,2013/2014,21,49,3.5,6,0,0
10632,ACC402,UBa/HIMS01/13/0037,ACCOUNTANCY,400,2,2013/2014,20,46,0,0,0,0
10633,ACC402,UBa/HIMS01/13/0048,ACCOUNTANCY,400,2,2013/2014,19,45,0,0,0,0
10634,ACC402,UBa/HIMS01/13/0055,ACCOUNTANCY,400,2,2013/2014,13,31,0,0,0,0
10635,ACC402,UBa/HIMS01/13/0064,ACCOUNTANCY,400,2,2013/2014,18,43,0,0,0,0
10636,ACC402,UBa/HIMS01/13/0065,ACCOUNTANCY,400,2,2013/2014,22,52,0,0,0,0
10637,ACC402,UBa/HIMS01/13/0079,ACCOUNTANCY,400,2,2013/2014,26,61,0,0,0,0
10638,ACC402,UBa/HIMS01/13/0083,ACCOUNTANCY,400,2,2013/2014,23,53,0,0,0,0
10639,ACC402,UBa/HIMS01/13/0086,ACCOUNTANCY,400,2,2013/2014,23,54,0,0,0,0
10640,ACC402,UBa/HIMS01/13/0101,ACCOUNTANCY,400,2,2013/2014,21,50,0,0,0,0
10641,ACC402,UBa/HIMS01/13/0103,ACCOUNTANCY,400,2,2013/2014,19,44,0,0,0,0
10642,ACC402,UBa/HIMS01/13/0089,ACCOUNTANCY,400,2,2013/2014,21,50,0,0,0,0
10643,ACC402,UBa/HIMS01/13/0113,ACCOUNTANCY,400,2,2013/2014,25,59,0,0,0,0
10644,ACC402,UBa/HIMS01/13/0119,ACCOUNTANCY,400,2,2013/2014,,,0,0,0,0
10645,ACC402,UBa/HIMS01/13/0118,ACCOUNTANCY,400,2,2013/2014,21,48,0,0,0,0
10646,ACC402,UBa/HIMS01/13/00144,ACCOUNTANCY,400,2,2013/2014,19,45,0,0,0,0
10647,,,,,,,,,,,,
10648,BNF402,UBa/HIMS01/13/0003,ACCOUNTANCY,400,2,2013/2014,19,44,0,0,0,0
10649,BNF402,Uba/HIMS01/13/0005,ACCOUNTANCY,400,2,2013/2014,9,47,0,0,0,0
10650,BNF402,Uba/HIMS01/13/0017,ACCOUNTANCY,400,2,2013/2014,13,27,0,0,0,0
10651,BNF402,UB/HIMS01/13/0020,ACCOUNTANCY,400,2,2013/2014,15,58,0,0,0,0
10652,BNF402,UBa/HIMS01/13/0024,ACCOUNTANCY,400,2,2013/2014,10,61,0,0,0,0
10653,BNF402,UBa/HIMS01/13/0028,ACCOUNTANCY,400,2,2013/2014,18,57,0,0,0,0
10654,BNF402,UBa/HIMS01/13/0034,ACCOUNTANCY,400,2,2013/2014,16,41,0,0,0,0
10655,BNF402,UBa/HIMS01/13/0035,ACCOUNTANCY,400,2,2013/2014,22,50,3.5,6,0,0
10656,BNF402,UBa/HIMS01/13/0037,ACCOUNTANCY,400,2,2013/2014,24,42,0,0,0,0
10657,BNF402,UBa/HIMS01/13/0048,ACCOUNTANCY,400,2,2013/2014,17,63,0,0,0,0
10658,BNF402,UBa/HIMS01/13/0055,ACCOUNTANCY,400,2,2013/2014,12,41,0,0,0,0
10659,BNF402,UBa/HIMS01/13/0064,ACCOUNTANCY,400,2,2013/2014,11,59,0,0,0,0
10660,BNF402,UBa/HIMS01/13/0065,ACCOUNTANCY,400,2,2013/2014,17,49,0,0,0,0
10661,BNF402,UBa/HIMS01/13/0079,ACCOUNTANCY,400,2,2013/2014,19,45,0,0,0,0
10662,BNF402,UBa/HIMS01/13/0083,ACCOUNTANCY,400,2,2013/2014,18,58,0,0,0,0
10663,BNF402,UBa/HIMS01/13/0086,ACCOUNTANCY,400,2,2013/2014,14,53,0,0,0,0
10664,BNF402,UBa/HIMS01/13/0101,ACCOUNTANCY,400,2,2013/2014,11,48,0,0,0,0
10665,BNF402,UBa/HIMS01/13/0103,ACCOUNTANCY,400,2,2013/2014,12,61,0,0,0,0
10666,BNF402,UBa/HIMS01/13/0089,ACCOUNTANCY,400,2,2013/2014,15,50,0,0,0,0
10667,BNF402,UBa/HIMS01/13/0113,ACCOUNTANCY,400,2,2013/2014,13,53,0,0,0,0
10668,BNF402,UBa/HIMS01/13/0119,ACCOUNTANCY,400,2,2013/2014,,,0,0,0,0
10669,BNF402,UBa/HIMS01/13/0118,ACCOUNTANCY,400,2,2013/2014,14,48,0,0,0,0
10670,BNF402,UBa/HIMS01/13/00144,ACCOUNTANCY,400,2,2013/2014,15,48,0,0,0,0
10671,,,,,,,,,,,,
10672,ENT408,UBa/HIMS01/13/0003,ACCOUNTANCY,400,2,2013/2014,17,48,0,0,0,0
10673,ENT408,Uba/HIMS01/13/0005,ACCOUNTANCY,400,2,2013/2014,12,43,0,0,0,0
10674,ENT408,Uba/HIMS01/13/0017,ACCOUNTANCY,400,2,2013/2014,22,51,0,0,0,0
